"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1803070","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469390","","2176.32","1","71959079","3534043707","SH_D7_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803069","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469389","","2414.38","1","79936739","3927376238","SH_D1_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803067","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469387","","2201.35","1","74469823","3661868276","VD_D7_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803066","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469386","","2552.36","1","83917190","4121926527","VD_D7_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803065","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469385","","1907.43","1","63863613","3136038947","VD_D1_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803064","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469384","","2239.94","1","72705053","3566514587","VD_D1_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803063","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469383","","2002.69","1","69143371","3352045464","ST_D7_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803062","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469382","","1912.47","1","71710724","3508134548","BD_D1_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803061","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1465067","","1720.08","1","66401870","3252881124","BD_D1_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1625120","RNA-Seq of  Ophiolimna perfida: field-collected adult body","Ophiolimna perfida","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334413","","1778.76","1","14928719","2985743800","MVF188866","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625119","RNA-Seq of  Ophiocoma wendtii: field-collected adult body","Ophiocoma wendtii","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334414","","1940.88","1","16000000","3200000000","MVF193471","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625118","RNA-Seq of  Ophioleuce brevispinum: field-collected adult body","Ophioleuce brevispinum","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334415","","1706.99","1","14372240","2874448000","MVF188879","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625117","RNA-Seq of  Ophiomusium lymani: field-collected adult body","Ophiomusium lymani","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334416","","1856.89","1","14937390","2987478000","MVF193430","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625116","RNA-Seq of  Ophioplocus bispinosus: field-collected adult body","Ophioceres bispinosus","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334417","","2661.37","1","21547721","4309544200","MVF214038","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625115","RNA-Seq of  Amphiophiura laudata: field-collected adult body","Amphiophiura laudata","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334418","","1550.82","1","12975398","2595079600","MVF193422","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625114","RNA-Seq of  Ophiactis resiliens: field-collected adult body","Ophiactis resiliens","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334419","","2499.65","1","20259181","4051836200","MVF214043","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625113","RNA-Seq of  Ophiophragmus wurdemanii: field-collected adult body","Ophiophragmus wurdemanii","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334421","","1475.49","1","11584321","2316864200","MVF193481","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625112","RNA-Seq of  Ophiothrix caespitosa: field-collected adult body","Ophiothrix caespitosa","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334420","","2668.84","1","22784153","4556830600","MVF214044","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625111","RNA-Seq of  Ophiopeza cylindrica: field-collected adult body","Ophiopeza cylindrica","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334422","","1307.61","1","11199678","2239935600","MVF214036","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625110","RNA-Seq of  Ophiophrura liodisca: field-collected adult body","Ophiophrura liodisca","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334423","","1516.74","1","12671468","2534293600","MVF188883","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625109","RNA-Seq of  Ophiophycis johni: field-collected adult body","Ophiophycis johni","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334424","","1818.07","1","15219856","3043971200","02W37","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625108","RNA-Seq of  Ophiologimus prolifer: field-collected adult body","Ophiologimus prolifer","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334425","","2015.92","1","17098815","3419763000","02W70","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625107","RNA-Seq of  Gorgonocephalus pustulatum: field-collected adult body","Gorgonocephalus pustulatum","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334426","","1490.71","1","12559491","2511898200","MVF188859","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625106","RNA-Seq of  Ophiolepis impressa: field-collected adult body","Ophiolepis impressa","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334428","","1954.21","1","16000000","3200000000","MVF193475","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625105","RNA-Seq of  Clarkcoma canaliculata: field-collected adult body","Clarkcoma canaliculata","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334427","","1685.28","1","14451932","2890386400","MVF214035","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625104","RNA-Seq of  Ophiura sp.nov: field-collected adult body","Ophiura sp. MVF193435","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334429","","2006.37","1","16000000","3200000000","MVF193435","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625103","RNA-Seq of  Bathypectinura heros: field-collected adult body","Bathypectinura heros","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334430","","3367.86","1","27312095","5462419000","MVF188876","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625102","RNA-Seq of  Ophiernus vallincola: field-collected adult body","Ophiernus vallincola","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334431","","1988.09","1","17183541","3436708200","MVF188877","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625101","RNA-Seq of  Ophiotreta eximia: field-collected adult body","Ophiotreta eximia","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334432","","2102.83","1","16993953","3398790600","MVF188864","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625100","RNA-Seq of  Ophiomoeris obstricta: field-collected adult body","Ophiomoeris obstricta","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334433","","1749.27","1","15165127","3033025400","MVF188867","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625099","RNA-Seq of  Asteroschema bidwillae: field-collected adult body","Asteroschema bidwillae","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334434","","2597.96","1","21608598","4321719600","MVF188856","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625098","RNA-Seq of  Ophiomyxa australis: field-collected adult body","Ophiomyxa australis","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334435","","2441.86","1","20819464","4163892800","MVF214037","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625097","RNA-Seq of  Asteronyx loveni: field-collected adult body","Asteronyx loveni","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334436","","1933.03","1","15540215","3108043000","MVF188855","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625096","RNA-Seq of  Ophionereis schayeri: field-collected adult body","Ophionereis schayeri","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334437","","3372.14","1","27228920","5445784000","MVF214039","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625095","RNA-Seq of  Amphiura constricta: field-collected adult body","Amphiura constricta","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334439","","2037.56","1","16557997","3311599400","MVF214042","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625094","RNA-Seq of  Ophiactis abyssicola: field-collected adult body","Ophiactis abyssicola","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334438","","2297.94","1","19379344","3875868800","MVF188874","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625093","RNA-Seq of  Leptosynapta tenuis: field-collected adult body","Leptosynapta tenuis","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334440","","1799.2","1","14792348","2958469600","MVF193479","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625092","RNA-Seq of  Ophiothrix angulata: field-collected adult body","Ophiothrix angulata","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334441","","1568.67","1","12839349","2567869800","MVF193476","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625091","RNA-Seq of  Aporometra wilsoni: field-collected adult body","Aporometra wilsoni","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334442","","3241.16","1","26237907","5247581400","MVF214045","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1625090","RNA-Seq of  Luidia senegalensis: field-collected adult body","Luidia senegalensis","Illumina HiSeq 2000","Museum Victoria","SRP071599","Transcriptome-based phylogeny of the echinoderm class Ophiuroidea","SRS1334443","","2028.58","1","16000000","3200000000","TOH19","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"DRX021520","Illumina HiSeq 2000 paired end sequencing of SAMD00020607","Metacrinus rotundus","Illumina HiSeq 2000","TSUKUBA","DRP002891","RNAseq of isocrinoid sea lily Metacrinus rotundus embryos","DRS023591","","2747.98","1","23970725","4314730500","M_rot_RNAseq","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"DRX021519","Illumina HiSeq 2000 paired end sequencing of SAMD00020605","Holothuria leucospilota","Illumina HiSeq 2000","TSUKUBA","DRP002892","RNAseq of sea cucumber Holothuria leucospilota embryos","DRS023593","","5421.49","1","37736652","7547330400","Hl_RNAseq_late","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"DRX021518","Illumina HiSeq 2000 paired end sequencing of SAMD00020604","Holothuria leucospilota","Illumina HiSeq 2000","TSUKUBA","DRP002892","RNAseq of sea cucumber Holothuria leucospilota embryos","DRS023592","","2926.01","1","25557553","4600359540","Hl_RNAseq_early","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"DRX021517","Illumina HiSeq 2000 paired end sequencing of SAMD00020602","Patiria pectinifera","Illumina HiSeq 2000","TSUKUBA","DRP002890","Transcriptome analysis of ectopic expression of alx1 gene in starfish embryo","DRS023589","","9977.11","1","74586667","14917333400","Alx1_overexpressed","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"DRX021516","Illumina HiSeq 2000 paired end sequencing of SAMD00020603","Patiria pectinifera","Illumina HiSeq 2000","TSUKUBA","DRP002890","Transcriptome analysis of ectopic expression of alx1 gene in starfish embryo","DRS023590","","15570.46","1","116982197","23396439400","EGFP_overexpressed","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1519631","Asterias rubens neural transcriptome","Asterias rubens","Illumina HiSeq 2000","Queen Mary University of London","SRP068147","Asterias rubens radial nerve raw sequence reads","SRS1238007","","21188.59","1","168776495","33755299000","Arubensneural2012","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"ERX1267245","Illumina HiSeq 2000 paired end sequencing","Apostichopus japonicus","Illumina HiSeq 2000","School of Biological Sciences and Biotechnology","ERP013609","Comparative transcriptome analysis of three color variants of the sea cucumber Apostichopus japonicus","ERS1020926","Japanese sea cucumber","3388.99","1","28397317","5736258034","unspecified","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"ERX1267244","Illumina HiSeq 2000 paired end sequencing","Apostichopus japonicus","Illumina HiSeq 2000","School of Biological Sciences and Biotechnology","ERP013609","Comparative transcriptome analysis of three color variants of the sea cucumber Apostichopus japonicus","ERS1020924","Japanese sea cucumber","3513.29","1","29533228","5965712056","unspecified","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"ERX1267243","Illumina HiSeq 2000 paired end sequencing","Apostichopus japonicus","Illumina HiSeq 2000","School of Biological Sciences and Biotechnology","ERP013609","Comparative transcriptome analysis of three color variants of the sea cucumber Apostichopus japonicus","ERS1020925","Japanese sea cucumber","3912.65","1","32840657","6633812714","unspecified","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX1485316","GSM1973612: SoxC morphlino oligo knockdown; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP067439","Gene expression alterations in SoxC knockdown sea urchin embryos","SRS1208629","","2478.11","1","27541065","4131159750","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1485315","GSM1973611: Glycerol control; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP067439","Gene expression alterations in SoxC knockdown sea urchin embryos","SRS1208630","","2479.8","1","27655945","4148391750","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1480801","Florometra transcriptome","Florometra serratissima","Illumina HiSeq 2000","Stanford University","SRP067354","Florometra serratissima raw sequence reads","SRS1206137","","8881.19","1","65757681","13283051562","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1428004","Sample_46 YX_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159365","","923.01","1","31211999","1560599950","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1428003","Sample_45 YX_Ctl Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159366","","922.04","1","30231418","1511570900","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1428002","Sample_44 YC_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159367","","1010.84","1","33541626","1677081300","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1428001","Sample_43 YC_Ctl Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159368","","903.13","1","29189334","1459466700","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1428000","Sample_42 BC_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159369","","1206.5","1","37972997","1898649850","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427999","Sample_41 BC_Ctl Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159370","","1077.56","1","35451127","1772556350","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427998","Sample_40 AC_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159371","","978.38","1","31021156","1551057800","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427997","Sample_39 AC_Ctl Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159372","","1659.54","1","53085115","2654255750","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427996","Sample_38 YA_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159373","","886.38","1","27789232","1389461600","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427995","Sample_37 YA_Ctl Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159374","","917.03","1","30414095","1520704750","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427994","Sample_36 BA_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159375","","1190.69","1","38605467","1930273350","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427993","Sample_35 BA_Ctl Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159376","","1019.06","1","32894284","1644714200","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427992","Sample_34 AA_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159377","","1106.38","1","35810017","1790500850","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427991","Sample_33 AA_Ctl Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159378","","1050.41","1","35723057","1786152850","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427990","Sample_32 YW_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159379","","1107.85","1","35793816","1789690800","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427989","Sample_31 YZ_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159380","","949.86","1","30741556","1537077800","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427988","Sample_30 YD_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159381","","802.55","1","26635932","1331796600","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX1427987","Sample_19 BB_Low Strongylocentrotus droebachiensis mRNAseq","Strongylocentrotus droebachiensis","Illumina HiSeq 2000","Duke University","SRP066054","Genomic characterization of the evolutionary potential of the sea urchin Strongylocentrotus droebachiensis facing ocean acidification","SRS1159382","","1089.77","1","34630669","1731533450","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
